dataset	window	paa	alphabet	approximation	rules	gr_size	frequency	cover	coverage	pruned_rules	pruned_gr_size	pruned_frequency	pruned_cover	pruned_coverage
ecg0606	340	10	12	0.596848910103638	30	15296	4	0.8673336233144846	9.214441061331014	4	14812	4	0.8673336233144846	1.190517616354937
ecg0606	340	12	2	0.8963293882571688	65	7508	12	0.998260113092649	28.6163549369291	3	6268	12	0.998260113092649	2.900391474554154
ecg0606	340	12	3	0.7078928512440557	86	8128	12	0.9952153110047847	52.107872988255764	4	6792	8	0.9952153110047847	2.2357546759460636
ecg0606	340	12	4	0.6913365140988211	87	12996	10	0.9943453675511091	36.53327533710309	5	11332	4	0.9943453675511091	1.4906481078729883
ecg0606	340	12	5	0.6601382617891225	66	14780	5	0.9712918660287081	22.185732927359723	5	13468	4	0.9712918660287081	1.4849934754240974
ecg0606	340	12	6	0.6100327417631951	78	14132	9	0.9886907351022184	30.985645933014354	6	12652	5	0.9886907351022184	1.9295345802522836
ecg0606	340	12	7	0.6038380115691944	52	16120	6	0.9721618094823836	18.93997390169639	6	15144	4	0.9721618094823836	1.7920835145715528
ecg0606	340	12	8	0.5877431891783728	51	16784	4	0.9895606785558939	16.237494562853414	6	15816	3	0.9895606785558939	1.7825141365811221
ecg0606	340	12	9	0.5788357814645434	35	17820	4	0.8677685950413223	11.158329708568942	6	17156	3	0.8677685950413223	1.6337538060026098
ecg0606	340	12	10	0.5743539125603914	16	18632	3	0.8460200086994345	4.608960417572858	6	18400	2	0.8460200086994345	1.4849934754240974
ecg0606	340	12	12	0.5607216794040509	16	19468	3	0.7929534580252283	4.9151805132666375	5	19228	3	0.7929534580252283	1.4923879947803393
ecg0606	340	14	2	0.8656000466405563	93	12332	5	1.0	35.09656372335798	4	10260	5	1.0	1.4963027403218792
ecg0606	340	14	3	0.6681771068159039	61	9786	7	0.9939103958242714	25.22488038277512	5	8558	7	0.9939103958242714	2.263157894736842
ecg0606	340	14	4	0.6429855439531674	96	18410	7	0.9860809047411918	35.84297520661157	5	16312	5	0.9860809047411918	1.640713353632014
ecg0606	340	14	5	0.6295693311711416	55	20064	4	0.9717268377555459	17.394519356241844	7	18830	4	0.9717268377555459	2.083514571552849
ecg0606	340	14	6	0.5842716935693744	41	18268	4	0.959112657677251	14.193997390169638	7	17416	3	0.959112657677251	2.0839495432796866
ecg0606	340	14	7	0.5687137027941304	46	21700	3	0.8521096128751631	14.425402348847324	6	20690	2	0.8521096128751631	1.4862983906046108
ecg0606	340	14	8	0.5576154294683476	45	22132	5	0.9008264462809917	15.489778164419313	6	21200	5	0.9008264462809917	2.2353197042192257
ecg0606	340	14	9	0.5438495966366989	15	22796	3	0.6602870813397129	4.458025228360157	5	22516	2	0.6602870813397129	1.1900826446280992
ecg0606	340	14	10	0.5406822723873146	16	23372	4	0.8777729447585907	4.903436276642018	7	23120	2	0.8777729447585907	1.7838190517616355
ecg0606	340	14	12	0.5252723098219314	4	24440	2	0.5863418877772945	0.8903871248368856	4	24440	2	0.5863418877772945	0.8903871248368856
ecg0606	340	16	2	0.844821497834435	73	14876	7	0.9939103958242714	29.506742061765983	5	13036	7	0.9939103958242714	2.2501087429317095
ecg0606	340	16	3	0.648792986745244	84	14536	9	0.9956502827316225	36.05350152240104	5	12584	4	0.9956502827316225	1.5067420617659852
ecg0606	340	16	4	0.6057232983227244	83	21268	9	0.9926054806437582	31.88951718138321	5	19144	8	0.9926054806437582	2.0843845150065246
ecg0606	340	16	5	0.5910278510797418	36	25200	2	0.8560243584167029	10.411483253588516	6	24360	2	0.8560243584167029	1.4880382775119618
ecg0606	340	16	6	0.5528462793145525	44	23948	3	0.9173553719008265	13.535885167464114	7	22896	2	0.9173553719008265	1.781209221400609
ecg0606	340	16	7	0.5353303993779495	38	26120	3	0.8268812527185733	11.296650717703349	5	25136	2	0.8268812527185733	1.1896476729012615
ecg0606	340	16	8	0.5286192311837171	14	27192	2	0.6437581557198782	3.860809047411918	5	26928	2	0.6437581557198782	1.1892127011744236
ecg0606	340	16	9	0.5133705856491013	11	27440	2	0.7881687690300131	2.968247063940844	5	27248	2	0.7881687690300131	1.186602870813397
ecg0606	340	16	10	0.511065997389916	9	28844	2	0.5337103088299261	2.375380600260983	4	28696	2	0.5337103088299261	0.8899521531100478
ecg0606	340	16	12	0.49559170042270817	1	29360	-2147483648	0.0	0.0	1	29360	-2147483648	0.0	0.0
ecg0606	340	18	2	0.8250969041135001	107	20822	6	0.9943453675511091	39.08046976946498	4	17618	3	0.9943453675511091	1.1909525880817746
ecg0606	340	18	3	0.6369696516540494	113	20116	8	1.0	47.84688995215311	5	16998	8	1.0	2.2414093083949544
ecg0606	340	18	4	0.5847675055698154	64	25598	5	0.9865158764680296	21.303610265332754	6	23804	3	0.9865158764680296	1.6398434101783383
ecg0606	340	18	5	0.5637748524615313	37	29596	3	0.9473684210526315	11.58895171813832	6	28592	3	0.9473684210526315	1.6341887777294475
ecg0606	340	18	6	0.5247375437970944	33	30326	3	0.7198782079164854	9.812962157459765	5	29444	2	0.7198782079164854	1.190517616354937
ecg0606	340	18	7	0.5041268934933265	40	31586	3	0.8599391039582427	11.901261418007829	7	30594	2	0.8599391039582427	1.7842540234884732
ecg0606	340	18	8	0.49805564442027433	9	31776	2	0.6111352762070466	2.3740756850804696	4	31596	2	0.6111352762070466	0.8899521531100478
ecg0606	340	18	9	0.48312613934991505	18	33074	3	0.8016528925619835	5.198782079164855	5	32648	2	0.8016528925619835	1.1883427577207482
ecg0606	340	18	10	0.48071977715922015	2	33884	2	0.2966507177033493	0.2966507177033493	2	33884	2	0.2966507177033493	0.2966507177033493
ecg0606	340	18	12	0.46667724854615045	1	34200	-2147483648	0.0	0.0	1	34200	-2147483648	0.0	0.0
ecg0606	340	20	2	0.806926327533738	112	24824	5	0.9843410178338408	40.74119182253153	5	21232	4	0.9843410178338408	1.937799043062201
ecg0606	340	20	3	0.6272410573448328	116	24792	8	0.9934754240974336	45.77468464549804	5	21168	4	0.9934754240974336	1.7868638538494999
ecg0606	340	20	4	0.5696637530793288	86	31596	4	0.9765115267507612	27.22531535450196	7	28868	2	0.9765115267507612	1.781209221400609
ecg0606	340	20	5	0.5469881988577685	31	33680	3	0.9034362766420183	9.058721183123097	6	32760	2	0.9034362766420183	1.4832535885167464
ecg0606	340	20	6	0.5068193546203229	22	34848	3	0.898651587646803	6.9773814702044366	6	34224	3	0.898651587646803	1.6320139190952587
ecg0606	340	20	7	0.48206666146705074	18	36368	4	0.7886037407568508	5.643323183993041	5	35896	3	0.7886037407568508	1.3353632013919094
ecg0606	340	20	8	0.475316153537737	6	37204	2	0.5493692909960852	1.484123531970422	4	37124	2	0.5493692909960852	0.8903871248368856
ecg0606	340	20	9	0.4584686417399403	16	37752	2	0.8012179208351458	4.454110482818617	7	37408	2	0.8012179208351458	1.78294910830796
ecg0606	340	20	10	0.455245358133467	1	38240	-2147483648	0.0	0.0	1	38240	-2147483648	0.0	0.0
ecg0606	340	20	12	0.4405965415228439	1	38680	-2147483648	0.0	0.0	1	38680	-2147483648	0.0	0.0
ecg0606	340	22	2	0.790900775924894	83	28358	7	0.9934754240974336	29.945193562418442	5	25340	4	0.9934754240974336	1.4884732492387995
ecg0606	340	22	3	0.6174182604947113	158	32664	6	0.9869508481948673	56.28795128316659	5	27192	4	0.9869508481948673	1.633318834275772
ecg0606	340	22	4	0.5574843566699014	48	35402	5	0.9712918660287081	15.449325793823402	6	33734	5	0.9712918660287081	1.9299695519791213
ecg0606	340	22	5	0.5341196547451184	19	39172	3	0.8147020443671161	5.494127881687691	6	38672	2	0.8147020443671161	1.4832535885167464
ecg0606	340	22	6	0.49366214962110727	16	40660	2	0.8603740756850805	4.45150065245759	7	40264	2	0.8603740756850805	1.781209221400609
ecg0606	340	22	7	0.4677249989299457	9	41150	2	0.6028708133971292	2.3745106568073076	5	40974	2	0.6028708133971292	1.1874728142670727
ecg0606	340	22	8	0.45993837206021665	1	41822	-2147483648	0.0	0.0	1	41822	-2147483648	0.0	0.0
ecg0606	340	22	9	0.44177457922708663	7	42162	2	0.5985210961287516	1.7799043062200957	5	42074	2	0.5985210961287516	1.186602870813397
ecg0606	340	22	10	0.4366902907784653	2	42908	2	0.2966507177033493	0.2966507177033493	2	42908	2	0.2966507177033493	0.2966507177033493
ecg0606	340	22	12	0.4204091676397367	1	42944	-2147483648	0.0	0.0	1	42944	-2147483648	0.0	0.0
ecg0606	340	24	2	0.7759214651092576	79	32544	4	0.973466724662897	26.18790778599391	6	29400	3	0.973466724662897	1.781209221400609
ecg0606	340	24	3	0.6076726667748915	110	35164	7	0.9826011309264898	38.699869508481946	5	30784	3	0.9826011309264898	1.4845585036972597
ecg0606	340	24	4	0.5454898141672464	39	40724	3	0.9425837320574163	11.735972161809482	6	39280	2	0.9425837320574163	1.4845585036972597
ecg0606	340	24	5	0.5225321410069887	16	42908	3	0.8351457155284906	4.601565898216616	6	42428	3	0.8351457155284906	1.6337538060026098
ecg0606	340	24	6	0.4819878238924146	13	44780	2	0.8316659417137886	3.5606785558938667	6	44464	2	0.8316659417137886	1.4832535885167464
ecg0606	340	24	7	0.4556746784382719	11	45724	2	0.6615919965202262	2.9686820356676815	4	45408	2	0.6615919965202262	0.8899521531100478
ecg0606	340	24	8	0.44782758026836633	1	46344	-2147483648	0.0	0.0	1	46344	-2147483648	0.0	0.0
ecg0606	340	24	9	0.4289583080763301	3	46264	2	0.4488908220965637	0.5933014354066986	3	46264	2	0.4488908220965637	0.5933014354066986
ecg0606	340	24	10	0.42263643535847056	6	46576	2	0.5445846020008699	1.4854284471509351	3	46432	2	0.5445846020008699	0.5954762940408873
ecg0606	340	24	12	0.4054751925161313	1	46896	-2147483648	0.0	0.0	1	46896	-2147483648	0.0	0.0
ecg0606	340	26	2	0.7625069697623961	54	34078	5	0.9447585906916051	16.662461939973902	7	31876	3	0.9447585906916051	1.9325793823401478
ecg0606	340	26	3	0.5984229865176369	69	34684	7	0.9443236189647672	23.384515006524577	5	31708	3	0.9443236189647672	1.4871683340582862
ecg0606	340	26	4	0.5345452742162107	26	44278	3	0.7868638538494998	7.8703784254023486	5	43274	3	0.7868638538494998	1.336233144845585
ecg0606	340	26	5	0.5116473533595474	10	47954	2	0.645933014354067	2.671161374510657	5	47716	2	0.645933014354067	1.1870378425402348
ecg0606	340	26	6	0.4714362120343491	11	48482	3	0.7372770769899957	3.117442366246194	6	48222	3	0.7372770769899957	1.6328838625489344
ecg0606	340	26	7	0.4448516601284112	6	49814	2	0.44845585036972596	1.4832535885167464	4	49710	2	0.44845585036972596	0.8899521531100478
ecg0606	340	26	8	0.4370450676999632	1	50466	-2147483648	0.0	0.0	1	50466	-2147483648	0.0	0.0
ecg0606	340	26	9	0.4182670632931262	4	50222	2	0.31491953023053504	0.8899521531100478	3	50170	2	0.31491953023053504	0.5933014354066986
ecg0606	340	26	10	0.41103205274008286	2	50656	2	0.2966507177033493	0.2966507177033493	2	50656	2	0.2966507177033493	0.2966507177033493
ecg0606	340	26	12	0.39333892723444697	1	50830	-2147483648	0.0	0.0	1	50830	-2147483648	0.0	0.0
ecg0606	340	28	2	0.7497779687613948	55	38792	5	0.980426272292301	19.09656372335798	5	36304	4	0.980426272292301	1.640713353632014
ecg0606	340	28	3	0.589048836428459	93	42672	6	0.9978251413658112	34.761200521966074	6	39000	4	0.9978251413658112	1.9356241844280122
ecg0606	340	28	4	0.5239673512039886	30	46360	6	0.8882122662026968	10.713353632013918	6	45136	6	0.8882122662026968	2.083514571552849
ecg0606	340	28	5	0.501190256986056	11	53368	2	0.6546324488908221	2.967812092214006	4	53000	2	0.6546324488908221	0.8899521531100478
ecg0606	340	28	6	0.46096877536524317	7	52328	2	0.4493257938234015	1.7816441931274467	4	52160	2	0.4493257938234015	0.8912570682905611
ecg0606	340	28	7	0.4346364657944835	1	54152	-2147483648	0.0	0.0	1	54152	-2147483648	0.0	0.0
ecg0606	340	28	8	0.42725583044039106	1	54348	-2147483648	0.0	0.0	1	54348	-2147483648	0.0	0.0
ecg0606	340	28	9	0.408091843151724	1	54600	-2147483648	0.0	0.0	1	54600	-2147483648	0.0	0.0
ecg0606	340	28	10	0.3999416049224266	1	54740	-2147483648	0.0	0.0	1	54740	-2147483648	0.0	0.0
ecg0606	340	28	12	0.38257102880360244	1	54768	-2147483648	0.0	0.0	1	54768	-2147483648	0.0	0.0
ecg0606	340	30	2	0.73808152073976	44	44370	4	0.9712918660287081	13.67246628969117	6	42194	3	0.9712918660287081	1.6328838625489344
ecg0606	340	30	3	0.5801202632169002	69	47984	4	0.8882122662026968	22.47281426707264	6	45010	2	0.8882122662026968	1.4871683340582862
ecg0606	340	30	4	0.5137639779713419	14	53904	2	0.6781209221400609	3.8586341887777293	4	53304	2	0.6781209221400609	0.8912570682905611
ecg0606	340	30	5	0.49124771026997993	7	56926	2	0.48760330578512395	1.7816441931274467	3	56686	2	0.48760330578512395	0.5950413223140496
ecg0606	340	30	6	0.45102619257202337	8	57734	2	0.7546759460635059	2.0774249673771203	6	57640	2	0.7546759460635059	1.4832535885167464
ecg0606	340	30	7	0.42475843234728095	1	57990	-2147483648	0.0	0.0	1	57990	-2147483648	0.0	0.0
ecg0606	340	30	8	0.41785318152517453	1	58620	-2147483648	0.0	0.0	1	58620	-2147483648	0.0	0.0
ecg0606	340	30	9	0.3986949635624212	1	58560	-2147483648	0.0	0.0	1	58560	-2147483648	0.0	0.0
ecg0606	340	30	10	0.3898845220383211	1	58800	-2147483648	0.0	0.0	1	58800	-2147483648	0.0	0.0
ecg0606	340	30	12	0.37247849776527997	1	58770	-2147483648	0.0	0.0	1	58770	-2147483648	0.0	0.0
ecg0606	350	2	2	1.2010573019920057	6	146	27	0.9917355371900827	10.675511091779034	2	114	27	0.9917355371900827	4.564593301435407
ecg0606	350	2	3	0.641116159080888	1	2	-2147483648	0.0	0.0	1	2	-2147483648	0.0	0.0
ecg0606	350	2	4	0.8452069157602982	6	146	27	0.9917355371900827	10.675511091779034	2	114	27	0.9917355371900827	4.564593301435407
ecg0606	350	2	5	0.641116159080888	1	2	-2147483648	0.0	0.0	1	2	-2147483648	0.0	0.0
ecg0606	350	2	6	0.7370416609290789	6	146	27	0.9917355371900827	10.675511091779034	2	114	27	0.9917355371900827	4.564593301435407
ecg0606	350	2	7	0.6408398774360318	1	6	-2147483648	0.0	0.0	1	6	-2147483648	0.0	0.0
ecg0606	350	2	8	0.6845423700906642	6	146	27	0.9917355371900827	10.675511091779034	2	114	27	0.9917355371900827	4.564593301435407
ecg0606	350	2	9	0.6398757243862017	6	54	6	0.903871248368856	4.002174858634189	3	38	2	0.903871248368856	1.1818181818181819
ecg0606	350	2	10	0.6548857260663008	6	146	27	0.9917355371900827	10.675511091779034	2	114	27	0.9917355371900827	4.564593301435407
ecg0606	350	2	12	0.6379324137173866	5	142	27	0.9917355371900827	9.44976076555024	2	118	27	0.9917355371900827	4.564593301435407
ecg0606	350	4	2	1.1646533314401215	28	988	10	0.9778164419312745	18.673771204871684	4	796	9	0.9778164419312745	2.5341452805567637
ecg0606	350	4	3	0.6884181327294944	1	20	-2147483648	0.0	0.0	1	20	-2147483648	0.0	0.0
ecg0606	350	4	4	0.8097691381338342	28	988	10	0.9778164419312745	18.673771204871684	4	796	9	0.9778164419312745	2.5341452805567637
ecg0606	350	4	5	0.6845751828937011	14	444	10	0.9917355371900827	10.375380600260984	4	364	10	0.9917355371900827	2.462374945628534
ecg0606	350	4	6	0.7118848594876446	28	1004	10	0.9778164419312745	18.669856459330145	4	812	9	0.9778164419312745	2.5341452805567637
ecg0606	350	4	7	0.670563864535694	28	892	12	0.994780339277947	18.692909960852546	4	700	6	0.994780339277947	1.8903871248368855
ecg0606	350	4	8	0.6737958912520768	37	1232	9	0.9812962157459765	21.053066550674206	5	976	4	0.9812962157459765	1.86820356676816
ecg0606	350	4	9	0.6562354081795168	36	1236	13	0.9943453675511091	23.92083514571553	4	980	13	0.9943453675511091	3.3688560243584167
ecg0606	350	4	10	0.6546702705519561	48	1552	9	0.9926054806437582	26.007394519356243	4	1200	7	0.9926054806437582	2.33144845585037
ecg0606	350	4	12	0.6426243648825106	53	1760	8	0.9939103958242714	27.906046107003046	5	1376	7	0.9939103958242714	2.3249238799478036
ecg0606	350	6	2	1.1314106774095019	48	2182	10	0.9995650282731623	22.350152240104393	4	1712	7	0.9995650282731623	1.729447585906916
ecg0606	350	6	3	0.7389362250795495	8	398	11	0.980426272292301	8.65680730752501	3	346	8	0.980426272292301	1.797303175293606
ecg0606	350	6	4	0.7906317150682747	47	2190	10	0.9995650282731623	22.023923444976077	4	1730	7	0.9995650282731623	1.729447585906916
ecg0606	350	6	5	0.7129620038863596	38	2006	12	0.9930404523705959	29.197477163984342	4	1650	8	0.9930404523705959	1.887777294475859
ecg0606	350	6	6	0.7113290354242325	51	2646	10	0.9995650282731623	24.882557633753805	4	2134	7	0.9995650282731623	2.0278381905176164
ecg0606	350	6	7	0.6866267862852597	60	3118	9	0.9943453675511091	34.24140930839496	4	2522	7	0.9943453675511091	1.6959547629404088
ecg0606	350	6	8	0.6797232896598875	65	3404	8	0.9995650282731623	29.506307090039147	4	2742	7	0.9995650282731623	2.3418877772944757
ecg0606	350	6	9	0.6682068095933262	74	3976	7	0.9904306220095693	35.124836885602434	5	3216	7	0.9904306220095693	2.0343627664201827
ecg0606	350	6	10	0.6634572349122235	63	3956	8	0.9969551979121357	29.279686820356677	5	3314	5	0.9969551979121357	2.159634623749456
ecg0606	350	6	12	0.6527058512988643	58	4424	6	0.9952153110047847	22.81209221400609	6	3844	4	0.9952153110047847	2.001739886907351
